from club,to club,player name,age,position,fee,transfer type,period,year,season
Admira Wacker,MSV Duisburg,Ivica Vastic,23,Second Striker,NA,sold,Winter,1993,1993/1994
Admira Wacker,SG Dynamo Dresden,Olaf Marschall,27,Centre-Forward,0.383M,sold,Summer,1993,1993/1994
Bayern Munich,Admira Wacker,Harald Cerny,19,Right Midfield,NA,sold,Winter,1993,1993/1994
Sparta Rotterdam,Admira Wacker,Wim Bubberman,25,Centre-Back,NA,sold,Winter,1996,1996/1997
Eintracht Frankfurt,Admira Wacker,Thomas Epp,31,Centre-Forward,NA,sold,Summer,1999,1999/2000
Eintracht Frankfurt,Admira Wacker,Thomas Epp,31,Centre-Forward,NA,sold,Winter,1999,1999/2000
CA Osasuna,Admira Wacker,Dejan Markovic,27,Right Midfield,NA,sold,Summer,2000,2000/2001
AS Monaco,Admira Wacker,Vladimir Jugovic,33,Left Midfield,NA,sold,Summer,2003,2003/2004
Admira Wacker,Portsmouth FC,Sebastian Olszar,22,Centre-Forward,0.18M,sold,Winter,2003,2003/2004
1.FC Kaiserslautern,Admira Wacker,Nenad Bjelica,33,Central Midfield,NA,sold,Summer,2004,2004/2005
Admira Wacker,Rubin Kazan,Vitalijs Astafjevs,33,Defensive Midfield,0.09M,sold,Summer,2004,2004/2005
Admira Wacker,Hannover 96,Roman Wallner,23,Centre-Forward,NA,on loan,Winter,2005,2005/2006
Hannover 96,Admira Wacker,Roman Wallner,23,Centre-Forward,NA,on loan,Summer,2005,2005/2006
Admira Wacker,Brentford FC,Konstantin Kerschbaumer,23,Central Midfield,NA,sold,Summer,2015,2015/2016
Admira Wacker,Barnsley FC,Christoph Knasmüllner,25,Attacking Midfield,0.45M,sold,Winter,2017,2017/2018
Admira Wacker,Heracles Almelo,Alexander Merkel,26,Central Midfield,NA,sold,Summer,2018,2018/2019
Admira Wacker,Barnsley FC,Patrick Schmidt,21,Centre-Forward,1.08M,sold,Summer,2019,2019/2020
Admira Wacker,Heracles Almelo,Sinan Bakis,26,Centre-Forward,0.54M,sold,Summer,2020,2020/2021
1.FSV Mainz 05,Admira Wacker,Marlon Mustapha,20,Centre-Forward,NA,on loan,Summer,2021,2021/2022
Eintracht Frankfurt,Admira Wacker,Yannick Brugger,20,Centre-Back,NA,sold,Summer,2021,2021/2022
TSG 1899 Hoffenheim,Admira Wacker,Ilay Elmkies,21,Central Midfield,NA,on loan,Summer,2021,2021/2022
